'VmPeak';'VmSize';'VmHWM';'VmRSS';'VmPTE';'Threads';'Buffers';'Cached';'Active';'Inactive';'Dirty';'Writeback';'Mapped';'Slab';'PageTables';'Committed_AS';'NumOfAllocFH';'proc-fd';'avgThroughput';'avgElapsed'
172388;170340;32192;31916;200;49;106600;1117068;0;409324;898564;4661316;40;0;84220;23740;108872;7208;313112;1020
172388;170340;32192;31916;200;45;106688;1117068;0;409320;898652;4661332;32;0;84216;23740;108904;7208;312932;1020
172388;170340;32192;31916;200;29;106768;1117068;0;409348;898708;4661088;28;0;84220;23740;108896;7208;315068;1020
172388;170340;32540;32500;200;20;106844;1117068;0;409936;898764;4661044;144;0;84728;23740;108968;7208;314848;1530
172388;170340;32600;31912;200;9;106904;1117072;0;409388;898800;4661132;172;0;84144;23740;108908;7208;317020;1530
172388;170340;32656;31912;200;9;106980;1117072;0;409420;898844;4661016;36;0;84284;23740;109012;7208;317012;1530
172388;170340;32660;32472;200;61;107052;1117072;0;410032;898892;4660228;44;0;84744;23740;108956;7208;316832;1020
172388;170340;32660;32516;200;50;107124;1117072;0;410104;898932;4660804;32;0;84900;23740;108856;7208;316832;1020
172388;170340;32660;32560;200;36;107204;1117076;0;410160;899000;4660800;28;0;84812;23740;108872;7208;314432;1020
172388;170340;32660;32612;200;21;107280;1117076;0;410244;899052;4660548;32;0;84868;23740;108956;7204;316376;1530
172388;170340;32660;32640;200;14;107348;1117076;0;410308;899084;4660844;164;0;84900;23740;108920;7208;316052;1530
172388;170340;32660;31912;200;9;107424;1117076;0;409596;899148;4661016;156;0;84284;23740;108796;7208;317812;1530
172388;170340;32660;32472;200;62;107496;1117076;0;410180;899196;4660344;40;0;84768;23740;108940;7208;315696;1530
172388;170340;32696;32500;200;51;107572;1117076;0;410232;899236;4659928;24;0;84904;23740;109000;7208;315340;1530
172388;170340;32696;32532;200;41;107628;1117076;0;410296;899268;4660124;44;0;84804;23740;108920;7208;315340;1530
172388;170340;32696;32588;200;27;107712;1117076;0;410364;899332;4660252;36;0;84832;23740;108864;7208;317132;1530
172388;170340;32696;32640;200;15;107768;1117076;0;410460;899356;4660100;32;0;84884;23740;108968;7208;317132;1530
172388;170340;32696;31440;200;9;107840;1117076;0;409280;899404;4660892;152;0;83864;23740;108856;7208;319216;2040
172388;170340;32696;32020;200;61;107920;1117076;0;409884;899460;4660228;152;0;84208;23740;109016;7208;317132;1530
172388;170340;32696;32408;200;48;107988;1117076;0;410296;899508;4659836;36;0;84740;23740;108912;7208;314788;1020
172388;170340;32696;32408;200;35;108068;1117076;0;410308;899572;4659072;40;0;84736;23740;108900;7208;314896;1020
172388;170340;32696;32408;200;24;108148;1117076;0;410336;899628;4659400;32;0;84740;23740;108856;7204;316904;1020
172388;170340;32696;32408;200;9;108224;1117076;0;410348;899692;4659020;40;0;84740;23740;108932;7204;318960;1020
172388;170340;32696;32408;200;9;108308;1117076;0;410360;899756;4659516;20;0;84736;23740;108864;7208;314600;1020
172388;170340;32696;32408;200;22;108380;1117076;0;410396;899804;4658916;160;0;84744;23740;108968;7208;316712;1020
172388;170340;32696;32408;200;56;108460;1117076;0;410408;899868;4658644;152;0;84740;23740;108940;7204;314440;1530
172388;170340;32696;32408;200;49;108552;1117084;0;410428;899948;4658948;60;0;84740;23740;108876;7208;318384;1530
172388;170340;32696;32408;200;36;108608;1117084;0;410464;899964;4658924;32;0;84736;23740;108892;7208;318384;1530
172388;170340;32696;32408;200;27;108696;1117080;0;410476;900036;4658384;32;0;84736;23740;108852;7204;316008;1530
172388;170340;32696;32408;200;15;108768;1117084;0;410500;900092;4658488;36;0;84740;23740;108884;7208;318068;1530
172388;170340;32696;32408;200;12;108844;1117084;0;410520;900148;4658760;32;0;84740;23740;108932;7208;315780;1530
172388;170340;32696;32408;200;9;108908;1117080;0;410552;900172;4658536;156;0;84736;23740;108956;7208;315780;1530
172388;170340;32696;32408;200;58;108968;1117084;0;410596;900196;4657772;160;0;84740;23740;108912;7208;317836;1530
172388;170340;32696;32408;200;46;109048;1117084;0;410608;900260;4658488;24;0;84736;23740;108928;7208;315620;1530
172388;170340;32696;32412;200;37;109128;1117084;0;410636;900312;4657816;44;0;84744;23740;108928;7208;315412;1530
172388;170340;32696;32412;200;22;109200;1117084;0;410656;900372;4658052;36;0;84744;23740;109012;7204;315048;1020
172388;170340;32696;32412;200;16;109276;1117080;0;410684;900420;4658092;44;0;84748;23740;108940;7208;317108;1020
172388;170340;32696;32412;200;9;109344;1117084;0;410700;900468;4658024;28;0;84740;23740;108896;7208;316700;1530
172388;170340;32696;32412;200;60;109432;1117084;0;410712;900548;4657756;152;0;84744;23740;108848;7208;316568;1530
172388;170340;32696;32412;200;54;109524;1117084;0;410720;900628;4657680;156;0;84744;23740;108888;7204;316228;1020
